filename,z0,z1
Ac2HgGe.png,-1.852028,2.514112
Ac2SiAu.png,-0.9718572,3.263488
AcAgAu2.png,-1.4701123,4.034848
AcCdRh2.png,-1.1637542,3.3354769
AcHgRh2.png,-0.76129824,3.0470257
AcSnPd2.png,-1.2045963,3.0397182
AcTlRh2.png,-1.0561312,2.7920556
AgHgPd2.png,-1.6702323,4.1941423
Al2CoIr.png,0.34613407,2.512997
Al2CoRu.png,0.2651782,2.6379623
Al2FeCo.png,0.51118064,2.5314162
Al2FeIr.png,-0.57183796,3.012773
Al2IrRh.png,-0.71388686,3.6614797
Al2NiRu.png,-0.8891084,3.5285347
Al2PdRu.png,-1.2006929,3.0387683
Al2RuPt.png,-0.6971313,2.8003287
AlCrRu2.png,-1.2644734,3.0697725
AlCuAu2.png,0.777744,1.4873108
AlFe2Si.png,-0.9405521,3.0760267
AlFe2W.png,-0.3608711,3.1977417
AlGeRu2.png,-1.306603,2.6319256
AlZnIr2.png,-1.0914469,3.5433555
BaSrTl2.png,-1.2502139,2.5423288
BeCo2Ge.png,-0.76833415,3.2762873
BeCo2Si.png,-0.8851883,2.8886604
BeFe2Si.png,-0.64025134,2.7582517
BeSiNi2.png,1.1483351,1.5619376
Ca2PdAu.png,-1.4443775,2.7290802
CaAcRh2.png,0.19511327,1.3411226
CaAg2Sn.png,-2.261583,2.3655164
CaCdAu2.png,1.1286602,1.2493607
CaCdHg2.png,-2.0697627,1.0504532
CaInAg2.png,-2.5646894,2.5920813
CaInHg2.png,-2.7122536,3.654505
CaMgHg2.png,-2.0858805,1.0647278
CaSnAu2.png,-1.5991099,2.2990143
CaSnRh2.png,-0.7665714,3.448223
Cd2AgAu.png,1.0087495,1.3112786
Cd2AgPt.png,-3.0194843,4.109534
Cd2AgRh.png,-3.6099336,4.0808277
Cd2PdRh.png,-2.9754255,3.3857095
Cd2PtRh.png,-1.0036515,3.167859
Cd2RhAu.png,-2.1810613,3.5100608
CdAgPd2.png,-1.470081,4.2951226
CdInPd2.png,0.408787,2.5828185
CrSiRu2.png,-2.006383,2.6925197
CuSnRh2.png,-3.0703254,4.0561113
Fe2CoSi.png,0.11513121,2.3453152
FeCo2Ge.png,0.45555106,2.7086601
FeGeRu2.png,-0.7473022,2.817072
FeSiRu2.png,-0.87707347,3.3668168
FeSiTc2.png,-1.683287,2.7897956
FeTc2Ge.png,-1.7211684,2.8873947
Ga2IrRh.png,-1.1348926,3.5380855
GaCuRh2.png,-1.0527067,2.7680366
GaFeCo2.png,-1.2901393,3.6398954
GaFeRh2.png,-2.3199146,3.287187
GaFeRu2.png,-1.3757939,2.367918
GaGeRu2.png,-1.5265712,2.6015515
GaNiRh2.png,-1.3714705,4.186096
GaTc2W.png,-0.54593825,5.1322
Hf2CoIr.png,-1.8318926,2.2360895
Hf2CuTc.png,-2.5799532,2.8032827
Hf2FeRh.png,0.7363977,4.451441
Hf2FeTc.png,-1.2004383,3.2748816
Hf2IrRh.png,-1.808931,1.7575426
Hf2MnRh.png,-1.080091,3.3615375
Hf2MoIr.png,-1.361869,2.485557
Hf2MoRh.png,-0.7468316,3.3488042
Hf2OsRh.png,-1.0066727,3.2228432
Hf2ReIr.png,-1.4763064,2.3344586
Hf2TcIr.png,-2.5697577,3.2633116
Hf2TcOs.png,-1.4264485,2.9226062
Hf2TcPd.png,-2.8104103,3.8547587
Hf2TcRu.png,-1.4030224,2.9441767
HfAlCo2.png,-0.9292636,3.35166
HfAlCu2.png,-0.4539409,3.2811692
HfAlNi2.png,-3.7481322,1.7559806
HfAlPd2.png,0.8685048,2.0644257
HfAlRh2.png,-1.8565174,1.0310464
HfCdRh2.png,0.8973829,4.0731225
HfCo2Sn.png,-0.84096175,3.426825
HfGaCo2.png,-1.8420514,1.0626799
HfGaRh2.png,-1.8149928,1.2281508
HfGaRu2.png,-0.81137264,2.8730214
HfGeRu2.png,-2.0650444,5.3012214
