filename,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97
Ac2HgGe.png,0.0,0.0,0.667996,0.42324653,0.075395614,0.0,0.0,0.7579272,0.0,1.8981044,1.0737896,4.6543255,3.0634496,0.70570004,0.38380393,4.7319736,3.0688763,1.4078739,0.0,1.0341762,2.7088642,1.0185766,0.8123082,2.1494622,3.4875998,2.3356185,1.4999034,0.652025,1.4044421,2.7564347,1.7706664,0.6630574,2.1879997,1.0111074,2.175222,2.8439577,2.6757746,2.6293988,2.7214665,2.4372275,1.0849812,2.2540658,4.2710705,0.9417336,2.6062198,1.4567242,4.0981665,2.7638898,2.599368,0.24409224,0.2221471,1.6698897,0.90374976,1.4897809,0.57369876,0.20848049,1.6251223,1.6502949,2.7890122,2.3813682,1.8236585,0.07038121,1.4806014,3.7876942,1.8319795,1.16372,0.0,0.0,1.8783941,3.9778614,0.4406169,3.4623437,4.7537932,2.627551,1.7903619,2.661099,0.6007216,1.4801435,1.0580764,1.2580986,1.2215624,1.8707588,1.6788797,1.1697347,1.9282213,0.0,2.7778661,3.983692,5.0613165,1.1393144,1.4790344,0.5171391,3.584602,5.4168177,2.4161394,2.4859097,1.9274158,0.7159959
Ac2SiAu.png,0.0,0.81675804,0.57753706,0.80139464,0.32517588,0.2967523,0.10252685,1.4678245,0.9097841,3.4706962,4.3361235,1.2270682,2.812688,1.7735543,1.8394756,2.0976853,1.6854297,0.32267803,0.8660839,1.3071127,0.8848588,3.7427905,0.86252886,2.9952447,3.3509302,2.0058987,1.7067101,1.6784766,1.2128764,2.770267,2.6302152,2.7951095,5.9022703,5.842993,2.188837,3.0245724,1.4288971,1.8214089,1.3161519,1.4509927,1.3193635,2.9416518,2.5329669,1.6378696,0.8408948,3.8322234,1.7519034,1.5906031,1.448357,1.3066957,1.6931597,1.5890863,0.7073691,0.4074177,2.7972658,0.42874932,1.1986339,1.8116093,3.9516613,2.3480833,2.5057304,2.8801148,0.8429206,1.2283942,3.4493926,0.65330017,0.6211264,1.2224296,0.38547915,1.4131756,0.19636944,0.50068307,2.0412397,1.4182713,3.2582803,0.68637884,0.6261767,3.647676,5.7867193,3.4532568,4.8318386,5.4705677,5.960235,3.639515,0.8371945,2.5317936,1.3319948,2.254948,2.2894678,1.0743608,0.30448022,4.8712816,3.0351222,4.4617887,3.3213806,2.8252878,2.9814348,4.1338305
AcAgAu2.png,0.75834024,1.0237945,0.98628485,0.35281572,0.32796082,0.59687483,0.14835171,0.55686164,1.6342502,2.1773968,1.857581,1.6654162,0.6241969,0.5223799,1.5184429,2.7002628,1.2062143,3.0003612,4.309333,0.8341117,1.7776979,3.1057687,2.575109,2.1323993,1.1750889,0.3243287,2.2335784,2.2486496,1.460353,1.2510012,5.578353,5.1571674,4.388768,1.3551254,0.10360654,2.5172713,4.6606455,1.9044164,1.628245,4.7139893,1.9820228,4.694402,1.3678529,4.247678,0.8256768,4.440092,0.8359942,0.18063805,3.5998552,4.7362385,1.7349565,0.90533864,1.22221,1.5376856,1.4105475,3.9913967,0.99489343,2.7288456,3.4463005,3.3815215,2.6225967,0.32431793,1.5043566,3.4533362,0.053415015,1.3740603,1.6036662,1.668488,2.79598,2.4079843,0.6580597,3.4114466,3.1717098,0.88782585,1.2059948,0.6975585,1.1471431,4.1003485,0.7057582,2.795572,4.4668646,2.936585,0.052645802,3.839894,4.9844007,4.6102757,4.032891,1.5279443,2.3436575,3.2075517,3.4625313,4.7048874,1.7013457,2.3645077,2.91141,1.3684349,2.0280297,4.2456913
AcCdRh2.png,0.23290563,0.9096139,1.8583708,1.407078,0.9236771,0.5678292,0.0,1.9970877,2.0436418,3.4089398,1.7455235,3.7867105,1.09097,1.2195073,0.93886834,1.484127,0.941804,0.0,1.8167484,1.1849905,0.95082194,1.7134359,4.8499928,1.5542009,2.0663188,0.0,1.8420665,4.523687,3.9772716,1.5047125,1.8244432,2.9888315,0.6332476,1.6043266,1.3083415,0.8997899,4.2965717,2.5418003,1.7843643,4.1338024,2.2594159,3.1012866,0.4602894,0.53770137,0.76470196,0.0,1.3302627,1.6106132,0.4055579,2.707923,2.3136404,2.5248804,3.9041686,2.3594425,1.1596884,2.3672378,2.3891366,3.4678655,1.3962693,1.6845773,0.9344077,2.5843863,3.0320418,4.1495667,3.6077993,2.5122836,2.0591342,1.2265685,3.2519767,3.4411817,4.9903665,1.905226,0.0,0.32849362,0.43390438,1.8260939,4.8026657,1.3279142,2.0510879,4.5400767,1.7340832,1.0319989,0.0,0.0,5.200672,3.2951105,1.7006109,2.6115484,2.4990115,1.3592281,3.0995588,0.54957855,0.42701942,1.3805609,0.9468208,0.88753474,0.0,0.0
AcHgRh2.png,0.48813078,0.45531964,0.903624,0.5123955,0.8214709,0.35854444,0.06593925,4.0000196,2.84019,1.298443,1.4564016,2.0885425,2.116673,3.839334,0.3125915,3.3799727,3.9266963,4.940688,0.0,3.472022,2.2519822,1.6497402,1.4431436,3.1921115,1.8364352,2.021166,1.8549488,0.36284268,0.22850029,1.0462242,2.5562463,1.5356364,2.5757747,1.7317356,0.8724273,2.765881,3.910032,0.6823651,0.665789,1.0065062,1.3227432,4.073661,0.3593798,0.29711047,2.8627417,2.3414,1.5269365,0.796457,0.0,4.778236,1.9777688,1.9634957,1.4364496,2.0299883,0.74339134,4.063789,3.2064762,1.4144102,2.248485,1.9349637,2.1813192,1.8074597,2.1082447,3.5696383,1.1440116,2.0579967,0.49482173,1.0589128,1.2443141,3.0006483,0.7416779,1.1628466,0.0,2.3400664,2.1242485,0.0,0.34209388,3.5838742,5.378406,3.6568515,3.1287827,3.798761,2.5876305,2.4495215,4.000681,0.81193966,0.5450111,0.7712093,0.94110113,1.4723203,2.9844267,0.65431195,3.2172222,3.1720772,2.3943427,3.9029403,0.79430234,1.2262299
AcSnPd2.png,0.38277128,1.3910841,1.8891361,2.6565511,2.8275783,2.070534,1.0420127,3.8119583,1.37643,3.3967667,1.6468508,3.4038694,5.780607,1.8708808,0.45446214,3.473312,5.66823,3.749812,2.0231721,1.3017408,0.3322877,3.316161,0.64720315,2.8756382,5.1373215,5.749946,4.257019,1.7334763,1.751256,1.3160511,2.7601483,1.1322318,4.4986334,0.67639005,0.7376554,2.558745,3.647439,0.9983784,0.9022216,0.88966423,3.1406124,3.076704,3.7925699,2.3458178,2.7370772,4.9181304,0.0,0.2360864,2.8247979,3.0815876,3.704529,3.9818695,4.283861,4.9684854,3.390155,1.8898313,4.0343204,3.4730186,1.3463339,1.6871247,2.928142,2.5530386,3.7176433,1.552969,2.1355233,1.2562208,3.0950038,4.071437,1.1575193,1.9528494,0.577773,1.5808753,4.1530466,5.352271,4.9272656,0.5521999,0.21749836,4.6571913,2.149172,3.2932322,2.0413156,1.9470336,0.9210727,3.756586,5.4129047,3.2099175,3.9008377,0.43719566,2.16511,1.1362438,4.6086135,1.7021093,2.594213,2.0713382,1.0337422,2.5255938,2.8906245,0.6757742
AcTlRh2.png,0.65346044,0.39985403,1.7461619,1.5823231,1.5944676,0.6955027,0.010296647,1.4681163,2.9515417,3.7257447,1.8664806,3.3542364,2.7382,1.6704988,1.2413876,2.7526243,0.6736038,1.4837251,1.2181301,0.22344235,0.86861134,3.6452863,4.3804064,3.0788631,1.886375,1.7791781,1.5305609,3.753683,2.9079056,4.4129515,4.5925117,4.0096083,1.019037,1.7932159,3.6865373,2.5419476,0.379557,1.0099907,0.49082115,2.1578028,0.40811276,0.8887888,1.1313971,1.0489202,3.0663774,1.149897,2.3560064,1.2104032,1.1980598,1.3811235,2.0685408,1.2765343,3.1043603,2.7038615,1.621239,0.1835685,3.9567318,1.2563269,4.570256,3.0453734,2.4792213,1.8115327,3.0405436,2.6505098,0.40262538,2.030837,0.9708887,0.13745217,0.21167505,2.5876987,4.639015,5.0562983,4.8038087,2.322316,1.351398,4.140912,4.4416194,1.2380084,1.8973129,4.228323,3.0087638,4.3546457,0.9576946,0.766085,0.7615512,1.2481911,3.1158838,0.801467,1.3256385,0.39798057,0.0,4.2462893,2.2884338,1.207089,0.22132103,1.3225656,0.8497839,3.8293536
AgHgPd2.png,1.4850434,2.1123157,2.9544964,2.3213215,2.485899,2.1968021,1.0319419,2.3116302,5.7671394,2.8957124,2.7312784,6.5020947,2.7529473,5.186408,1.2098392,5.0003514,1.7857789,3.752219,1.5400804,1.5664699,4.007105,3.586467,1.9797827,0.96249837,3.6103222,0.22554676,2.8424993,2.4978993,1.2021735,1.3497459,0.89811265,0.055737883,1.3334839,3.5218887,1.5327034,3.2816427,3.1424606,1.0150731,1.0386734,1.4751024,0.93264306,3.716874,2.2547283,3.2560468,1.3266791,1.0374937,0.68463314,0.4081024,3.2213678,4.8674746,3.205799,1.8525562,2.9782255,2.1802049,3.6940267,4.1547403,4.377877,5.78179,4.488225,3.9877942,3.682033,4.9858484,4.3505697,4.882479,3.423511,3.6486912,1.9583267,1.0124525,3.3244705,4.7420096,1.4113545,3.4936962,2.8524911,2.0543993,3.411634,3.5919867,0.6468927,0.058180884,0.0,0.2592908,0.34585595,0.317277,0.0,0.0,1.907435,1.426511,1.2027161,0.634864,1.517405,0.9724666,1.2929575,0.0,0.0,0.9260913,1.8480965,0.2030806,0.0,0.0
Al2CoIr.png,0.15859823,0.7446115,1.3718816,1.3988947,1.0547843,0.52611476,0.0,4.536168,0.8714687,1.8895808,1.8529545,2.2521095,3.3533955,2.0073748,2.2765243,2.132479,1.6015925,0.7581978,1.7052703,0.9806761,2.228421,0.8910696,3.3960428,1.4348075,0.8323522,1.3534014,0.3457785,2.0961118,3.0155616,4.078167,0.93846625,1.9222649,5.480255,0.14141423,4.271219,2.5286431,2.286801,0.5259206,1.1141365,0.24393126,0.80188525,2.7650828,1.3829391,1.1019224,1.7026085,1.143279,0.6002611,1.4774082,1.3193663,4.279275,0.82396734,1.6301024,1.997464,1.3012884,0.48842233,3.7649581,1.1781241,1.9298817,2.505247,4.6515245,5.967074,0.0,0.96118975,5.7334294,1.7032177,2.8085508,1.454804,1.3812553,1.3153119,5.202907,1.5905168,0.08267303,1.6686325,0.06414006,1.6433053,0.5088466,0.95376986,0.23798239,0.9858803,1.8686856,0.53485364,1.7795365,0.45534423,0.0,0.13738346,0.0,0.0,0.9275701,0.0,0.15698612,0.0,1.2434515,1.2308489,1.7317321,1.6052066,0.20440015,0.61629564,0.86529815
Al2CoRu.png,0.32422227,0.54134697,0.7744143,0.3732909,0.6663424,0.43778655,0.054268844,3.2956784,3.7323275,1.15255,1.1537243,1.5595669,0.25319105,3.5458775,2.1545906,3.6360397,2.1994748,1.7646921,1.4834058,0.0,3.5782897,0.36363703,1.1786357,0.9326407,1.4439054,2.7732892,1.5113236,0.5697403,2.0374732,4.1362953,1.7615881,1.8482983,0.0,1.7993802,4.36574,1.2142527,2.082115,3.1861987,1.784306,1.3787988,2.8459096,0.90694445,1.2555242,1.1131097,2.5799203,2.5044713,3.4611378,1.757391,1.4763318,5.292462,1.8038816,1.3936712,2.54418,2.2439232,0.8510948,4.8934608,1.4966075,1.1938553,1.521893,0.8324709,2.4086037,0.5610058,1.4001257,2.2123144,2.1318707,1.6002021,0.6522247,0.89116967,0.19193895,2.4440873,4.04026,4.3864107,1.1827228,1.0593321,1.5060046,1.4587768,3.8106558,1.1530458,0.87046546,0.74785817,0.0,0.59646523,1.3792403,0.36228484,1.7643751,2.3772984,0.15594497,0.529254,0.14700797,0.0,0.5754949,1.6814519,1.3865702,1.3890033,2.2893076,2.3393588,1.5397124,1.4498726
