filename,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99,z100,z101,z102,z103,z104,z105,z106,z107,z108,z109,z110,z111,z112,z113,z114,z115,z116,z117,z118,z119,z120,z121,z122,z123,z124,z125,z126,z127,z128,z129,z130,z131,z132,z133,z134,z135,z136,z137,z138,z139,z140,z141,z142,z143,z144,z145,z146
Ac2HgGe.png,0.3361602,0.31474754,0.17840898,0.3021769,0.4965208,0.5436287,0.6584504,0.72173566,0.10331015,0.36366272,0.52600706,0.56757915,0.44812316,0.22352591,0.0,1.3205615,0.0,0.0,0.08617337,0.5180662,0.541779,0.5527398,0.1344554,0.007978742,0.06643655,0.14244938,0.23956971,0.6372184,0.0,0.0,0.0,0.0,0.0,0.0,0.25022325,0.26104528,0.0,0.32736757,0.14724596,0.022797408,0.20443258,1.1886659,0.0,0.008410597,0.059731558,0.09267194,0.39319757,0.15829647,0.06497924,3.4971776,1.7445487,2.331337,2.6578112,3.4001179,3.050728,2.443872,0.6043289,0.089446366,0.32144558,0.0,0.0,0.0,1.2931242,0.50902236,1.974916,2.4493728,1.410216,1.5899765,0.8409806,0.00890021,1.1101855,2.7053769,0.91477597,0.8659996,0.9171644,1.6273623,0.1557258,1.0923734,1.8409305,1.9915383,1.5722911,1.7749327,0.6346072,0.49146864,2.2824414,0.3774802,1.7988594,1.1299577,1.5425744,1.4704249,2.4388266,3.2191508,3.5273771,2.479073,2.131006,2.3545225,2.3768713,3.5452352,1.4381397,1.1824977,1.6127896,2.3145394,2.9539893,2.533781,1.9100273,0.9505066,2.7984357,2.7580528,2.1574438,1.7729745,1.329407,1.8855096,3.131173,1.3417923,0.7464128,0.7326072,1.0032727,2.1714275,2.686108,1.0074197,0.35756648,1.7027245,2.5416155,1.3313754,1.1484828,1.2637671,1.2339023,2.5219383,3.2208602,1.432581,1.3108046,2.0182135,1.0990158,0.9625292,3.3917756,0.9377556,1.4041325,2.23669,1.6574593,0.6217891,2.7321172,1.4866233,2.266428,1.7782056,2.384618,1.6820941,0.8134442
Ac2SiAu.png,0.28133678,0.7728015,0.4643113,0.6958023,0.5493925,0.55672175,0.566342,0.7889757,0.24765827,0.5331162,0.6604759,0.6049261,0.50251675,0.0,0.080627196,0.09520051,0.105497874,0.09939679,0.32680568,0.3905998,0.594395,0.2828683,0.0,0.44759494,0.0,0.006619482,0.0,0.34913725,0.0,0.0,0.0,0.13149521,0.0,0.0,0.0,0.060487498,0.0,0.24092095,0.0,0.19973895,0.0,0.5973525,0.09110574,0.0,0.0,0.0,0.18989247,0.0,0.0,2.0020745,3.836087,1.8750541,3.2310812,2.4856386,2.9501526,2.1059978,0.69555503,0.0,0.09398639,0.0,0.0,0.46824598,1.8497337,0.69923717,0.5470158,0.28568625,0.6812228,0.88824785,0.8380247,0.92909265,1.3908286,0.7020555,1.4887611,0.9249355,0.58624464,0.9243741,0.84874076,1.4155117,1.4201792,0.9783974,3.3004375,0.9546964,1.5485315,0.8911094,1.9916929,1.1645994,1.4775354,1.5337642,1.9652805,1.5756227,2.0638933,3.0759282,3.4863622,2.9093595,2.3626764,3.3431334,3.7454753,3.6471477,2.0396047,1.4625089,1.9591532,2.4519458,2.152014,2.7190328,2.6753643,1.3072262,3.0225203,1.8370624,1.5827293,1.7440206,1.3100443,1.2358794,1.6760947,1.8879815,1.4350922,1.1576709,1.3073591,1.2689967,1.0423815,2.2508466,1.2729346,1.5876896,1.5986977,0.98067987,0.6800554,1.7420425,1.3629428,1.0711403,1.8681488,0.4180291,2.5054584,1.3167889,1.3257008,0.52872753,1.970985,1.3039218,1.6338692,2.7585087,2.8743446,0.66989076,4.3023205,4.6023927,4.2618513,4.470154,4.756674,4.4795775,3.6406674
AcAgAu2.png,0.3193204,0.56342226,0.4380399,0.47886527,0.246791,0.6491491,0.56596184,0.6206397,0.15330793,0.49114603,0.49579006,0.16634437,0.0,0.014072135,0.009598749,0.28539273,0.37653622,0.34086776,0.050219763,0.13839625,0.21075296,0.3268315,0.0073061036,0.0913237,0.47856754,0.43731412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55046344,0.0,0.0,0.20331605,0.2604112,0.0,0.0,0.50396127,0.83731747,0.23623227,0.0,0.0,0.05532217,0.0,0.0,0.0,1.59315,2.4193556,2.3128338,1.4426885,2.0530968,4.048257,2.7300777,0.08752376,0.0,0.394827,0.0,0.0,0.0,3.329967,0.5244053,1.3123229,0.9297929,0.958249,1.398199,0.3180338,0.6640762,0.6135824,2.1137328,0.8266921,0.94642156,1.1600189,2.358127,1.946455,1.6599251,0.50058997,0.7971424,1.9172587,0.7336954,1.9518219,2.3514287,1.2827456,1.3420715,0.6365285,0.9482938,0.7319494,1.8942094,1.5222813,2.6429782,4.8834887,2.6556532,2.707553,3.249276,3.2658873,4.507559,1.2004054,1.947862,2.436297,2.5605443,2.1495285,1.515857,2.6992006,0.9972241,2.8080297,1.6251674,2.2503402,2.1754677,2.1313734,0.45978948,2.38532,1.5735223,2.3429015,2.1652977,1.2941425,2.0673158,1.6118864,1.7694378,1.8261156,1.0452431,1.1048286,1.8845074,1.8458543,1.8653507,2.023196,2.8805575,2.096621,1.0034084,0.82199293,0.8139547,1.2129899,1.8938222,1.4522485,3.589346,3.1508467,1.0447822,1.6574147,0.8298582,3.9677932,2.7364068,2.0678601,2.6532788,3.9063435,1.19738,3.0014582
AcCdRh2.png,0.4536039,0.663489,0.6444012,0.5558365,0.62850904,0.4225196,0.6475249,0.5668696,0.5334503,0.8316677,0.75920814,0.32786745,0.4838287,0.07118353,0.13815938,0.0,0.0,0.005617367,0.5512775,0.0,0.29461122,0.23952457,0.0,0.2746492,0.70150983,0.26661435,0.06057773,0.26454243,0.0,0.24024355,0.0,0.0,0.0,0.0,0.10817485,0.0,0.37543496,0.0,0.19230725,0.2871656,0.39945543,0.6937683,0.34347618,0.0,0.0,0.0,0.0,0.0,0.0,3.0623782,2.277635,2.141455,2.6552145,2.6514997,2.3218865,2.5419474,0.0,0.0,0.16841018,0.0,0.0,0.44181716,0.0,0.86366045,0.44281155,1.2642169,1.4565059,1.8038567,0.8421468,0.5250953,0.85683113,0.9844705,0.7739428,0.36391577,1.6306665,1.1513968,1.4344682,0.62554383,2.4078531,3.408886,1.3838593,1.8758379,1.596716,1.3895849,0.7808673,2.4555464,0.70752305,0.59278345,1.8552582,1.186281,0.36169115,2.5742276,4.1915026,3.5911508,2.5574126,4.554413,2.6793337,3.6758668,1.7032104,2.1238868,2.8674648,2.937191,3.2007527,3.280897,1.6666466,0.6564514,0.84433806,0.9548935,1.1358914,1.5424845,0.6985537,0.7661936,2.3224444,2.4253983,1.6728487,1.481357,1.5303864,2.5345967,2.0116677,2.6554637,2.8044124,1.6712402,1.8218226,1.5850201,1.7513957,2.6146946,3.0626147,1.8181307,0.70601285,0.995432,1.328781,1.3917866,2.7104938,2.749372,0.38182682,1.4341693,1.5186309,1.1171584,2.1575975,2.1422088,1.2929308,2.8322425,4.000917,2.3832026,2.4092326,1.529369,1.5214229
AcHgRh2.png,0.31332484,0.33870313,0.5601148,0.3918455,0.5689674,0.56289965,0.6062376,0.79570204,0.51497,0.3208603,0.6018681,0.66908944,0.28748295,0.26684758,0.0,0.0,0.05812654,0.6665929,0.0,0.45952398,0.3788176,0.41084644,0.0556933,0.027920196,0.043592855,0.38042006,0.29639706,0.34721586,0.0,0.0,0.0,0.0,0.0,0.0,0.6205273,0.10520211,0.40030983,0.15698873,0.43743408,0.16860671,0.3201392,1.0210963,0.094721556,0.0,0.0,0.29181615,0.3388701,0.23862134,0.0,3.1944182,2.0064697,2.4305856,1.4340124,3.4265509,1.9861809,2.0126526,0.0028503537,0.7794858,0.0,0.16661358,0.0,0.0,0.7932608,1.1609861,2.6327477,0.88971066,1.8965336,0.5223603,1.3860263,0.1331132,0.81486684,0.37332118,1.3142947,1.4876007,0.936476,1.3196446,0.7266399,2.4327936,2.9665267,2.353566,1.8078554,1.7191327,1.9881794,1.3253872,1.5218581,1.1997179,1.0669733,1.1265727,0.87347424,1.3769104,1.2539608,3.1379225,4.680024,2.6666195,1.3608551,2.3499322,2.0008454,4.286031,1.845329,2.1565998,1.4462348,2.281281,2.959703,2.2596772,1.5764424,0.7251871,2.3168967,3.1137776,2.6516824,2.0629807,2.246644,1.2662362,2.3894355,1.3382405,1.3597018,0.81451863,0.6137595,1.5825421,2.0083218,1.0182403,1.6436236,2.2045555,0.56718016,1.1248215,2.0901403,1.417458,1.4174553,1.3965693,0.80461466,2.788319,2.5247023,1.4618816,1.3882414,0.49872607,1.6845142,2.147038,1.1206405,1.0009913,1.084944,0.5217962,4.243866,4.7885036,3.2319856,3.6905396,4.164533,3.8736053,3.6536303
AcSnPd2.png,0.39201555,0.4703255,0.35972875,0.13660567,0.55004597,0.5775458,0.6330967,0.72324675,0.22640345,0.0,0.6091944,0.22612788,0.42064878,0.2308213,0.0,0.0,0.519686,0.0,0.0,0.046803247,0.4038208,0.081092335,0.4709964,0.0,0.25909582,0.3025076,0.6402229,1.2145557,0.0,0.0,0.0,0.0,0.0,0.47144014,0.0,0.0,0.0037574673,0.5722362,0.17535418,0.1676411,0.3668806,0.67858285,0.24116662,0.0,0.0,0.2838896,0.29431474,0.0,0.0,2.59979,2.8525677,1.1805351,1.3040437,2.5012264,3.250222,2.2812955,0.0,0.0,0.007704854,0.63634574,0.0,0.0,0.0,0.74600357,1.6313611,3.013856,0.8400066,1.0793039,0.74139875,1.7932537,1.3844299,2.4893847,0.79213417,1.0746216,1.1141591,2.2441614,1.3714626,1.4296284,1.2685246,1.2188449,1.4614674,0.5395056,2.7611706,3.7172961,1.2109786,1.2165107,0.85270965,0.07886249,0.6641883,1.4551836,2.306769,2.736972,4.4272814,1.8193684,2.218255,2.7983048,3.5051987,3.8908887,2.1853704,1.8255883,1.6284659,3.2557926,1.9860451,2.941131,2.9254045,0.7427992,2.6388729,2.7772853,0.8480456,1.0535623,1.7184741,1.3797165,1.0352087,1.6928166,0.8409603,1.8323683,2.4232855,1.6277976,1.118918,1.5822858,1.128011,2.753399,2.7625837,3.0303166,2.3638139,1.2442867,0.45322466,2.7697637,1.5823525,3.6059456,2.5834556,0.2566481,0.28775,2.9357407,1.8524077,1.9499607,2.350143,2.132838,1.3332944,1.4042915,4.2004995,2.5834508,3.3080957,2.100758,2.729581,2.4675593,2.7582126
AcTlRh2.png,0.4341238,0.66469103,0.57919896,0.51173204,0.39042345,0.60713166,0.58872044,0.8937927,0.4227803,0.7407902,0.5768936,0.76523757,0.15385965,0.08668835,0.0,0.0517256,0.0033336638,0.07531706,0.0,0.031198071,0.46124193,0.38483748,0.09272906,0.043780375,0.05356921,0.051153537,0.17702629,0.08044566,0.12997112,0.0,0.0,0.0,0.0,0.0,0.3810593,0.3140592,0.40496883,0.11846286,0.0,0.104372166,0.40911916,0.7261828,0.20150433,0.36669058,0.3525282,0.46261472,0.10217603,0.0,0.21010196,1.6945227,2.4548213,2.6466322,2.2049294,2.8539302,3.145224,2.0703979,0.27477396,0.0,0.0,0.0,0.0,0.0,1.0121143,0.7311912,1.20524,1.1497111,0.4848324,2.1654813,2.38737,0.28466305,0.75466937,0.7421731,0.8751474,0.39416212,1.2070502,2.4378862,0.6522772,0.69621366,0.96018875,1.9775667,0.69290787,1.3537929,1.7216308,1.1873727,0.78189135,0.5980109,0.83043593,2.2524676,1.2364007,0.52541757,0.9310264,2.536262,2.1533418,1.0319923,2.0921936,3.0355177,3.1261818,2.4425917,2.233759,1.8851694,1.9735501,2.420478,2.718879,2.391072,2.7635596,0.5397392,2.2963834,1.2007565,1.1538002,1.5754983,1.6881596,1.0025557,2.0575194,0.89825666,1.8120079,0.8308869,1.9192955,1.288094,1.1297959,2.5387936,2.435934,1.6347674,1.416127,1.9487443,0.96319246,1.9552865,2.4451985,2.7882328,2.6923625,2.1851103,1.2881899,2.8364015,1.9912186,2.9534264,3.1136804,3.5001297,1.5824354,0.9441745,2.7249386,2.8006818,1.7615123,1.5574143,2.8440728,1.5771161,3.7192712,2.2281957,1.2424841
AgHgPd2.png,0.30902216,0.32111225,0.563458,0.6010975,0.42709726,0.5982724,0.44749138,0.54823184,0.52515477,0.19649558,0.48485073,1.5565455,0.21456821,0.22783172,0.37561145,0.17894533,0.0,0.20586078,2.0369186,0.48342156,0.57474595,0.17100517,0.96483564,0.30269384,0.19283135,0.16935058,0.61943597,0.43096423,0.0,0.0,0.0,0.20628425,0.0,0.0,0.35536095,1.4679773,0.9892575,0.31140733,0.6809608,0.761446,1.0044394,1.9283769,0.15072498,0.0,0.014804247,0.2216415,0.3825808,0.2472243,0.13608624,1.8993831,1.152986,2.6918168,0.5909387,1.647471,2.8533044,0.76423645,0.30222437,0.0,0.0,0.0,0.6657239,0.0,0.0,0.7780529,1.6428978,0.4056406,1.2508807,2.5832675,0.08807335,1.3119851,0.7119635,1.9921418,0.6944391,1.1027187,2.54811,0.9254006,0.0,0.72026724,0.83635604,2.1347315,0.8696462,0.63267523,0.4267997,0.93552524,1.1955556,0.5009679,0.5516411,0.90600115,0.5027503,0.69725984,0.8467486,3.5658126,3.9076934,2.0554774,2.1309998,2.2430718,2.1196737,3.6224957,0.99609095,1.1430672,2.0210643,1.6327932,3.493573,2.1792662,0.7795675,1.7745872,2.7907078,2.9243045,1.2360958,1.7207608,2.2979941,1.7924149,3.0010943,2.303527,1.0259967,1.5938724,0.31857032,0.74654657,2.774491,3.074016,0.3718273,1.014272,2.7836437,0.42750978,1.2795098,2.6905634,1.0443169,2.0947707,1.9571686,1.7049441,2.093782,2.5078993,1.0368081,1.3436301,1.6853815,1.68894,1.4518468,2.3015454,2.6619341,1.5285528,1.7062411,0.8868016,0.8437442,1.3099384,1.2288468,0.6218798,0.3537736
Al2CoIr.png,0.5943644,0.5976409,0.7093621,0.6380222,0.5743301,0.4897865,0.63061535,0.48406202,0.53424937,0.5717231,0.6323007,0.978305,0.56928134,0.14466305,0.38907406,0.0,0.33746234,0.23447505,0.29046193,0.6905377,0.52636415,0.1939198,0.0,0.05128877,0.13354793,0.17625779,0.011359252,0.34510463,0.0,0.0,0.0,0.0,0.0,0.0,0.30557403,0.5678053,0.12780485,0.16136265,0.03485916,0.10107213,0.7385689,0.37271747,0.23914106,0.0,0.0,0.20497431,0.24082974,0.0,0.14753668,2.0670245,1.8683759,2.5758812,2.2873375,2.0615795,3.0704331,2.6299772,0.2008329,0.0,0.0,0.0,0.0,0.0,0.24786407,0.28169677,0.20312777,1.3248838,0.5587337,0.91733074,1.6394358,0.39720374,1.3770169,0.9101504,1.1786683,1.8842114,0.77152836,0.34783703,1.8888363,0.88498074,0.9025359,1.7004863,1.208368,0.97728735,2.0903199,0.86633164,0.7938613,1.2962015,1.2432754,1.2730529,0.8562586,1.9410168,1.3484997,3.5704987,2.542852,2.2419562,2.13236,2.085692,2.064891,3.0153544,1.179622,2.432816,2.2520409,2.45774,2.5867314,3.070736,1.1731396,2.205267,1.1365608,1.9336826,1.9915497,2.4913125,1.6267822,1.8359517,2.8934765,0.8641263,1.3852352,1.2130154,1.2568974,1.0488527,2.06039,1.7051963,1.5684247,1.9753425,1.021528,1.088712,1.2338129,1.486729,1.3081237,0.7579944,2.5087125,0.867455,1.0837984,0.83641934,1.1031952,2.483463,2.5005698,2.2631211,1.9623566,2.8832917,1.3927243,2.334899,2.0355897,2.117036,1.8100135,1.5435238,1.7515346,1.3380669,0.49648154
Al2CoRu.png,0.44417816,0.38581932,0.6467839,0.69973063,0.6904185,0.5837602,0.6725422,0.54026794,0.5418228,0.84908855,0.632351,0.5204308,0.71819174,0.21580137,0.24474819,0.0,0.07714989,0.0,0.30279377,0.3596374,0.64134383,0.0,0.20962523,0.24722849,0.2230772,0.0,0.0,0.25211835,0.14525968,0.0,0.0,0.0,0.0,0.0,0.14692725,0.1734594,0.0,0.03605673,0.25296104,0.21815144,0.3353822,0.652721,0.34191683,0.3430154,0.05383434,0.023575624,0.0,0.0,0.06593828,2.6037161,1.4261746,2.6464086,2.5047631,2.9762583,3.7560272,1.5467097,0.0,0.0,0.0,0.0,0.0,0.3305688,0.027130008,1.392933,0.91968584,1.0941789,0.9254533,0.04350649,1.3362184,1.3159316,1.0218302,1.2903798,1.0548731,0.38423687,1.7052002,2.716389,0.18647704,0.9686244,0.72578174,1.5827863,1.0523715,0.84827954,1.1330703,0.45351908,0.8661333,1.0207798,0.9210221,0.8904819,1.9403944,0.80345434,1.1669414,2.1492708,1.6048189,3.004587,2.8935184,2.5147936,3.2089298,2.2738585,1.1234846,1.255244,2.5820656,2.8082056,2.4889255,2.5312374,0.886833,2.0000494,1.589357,1.8403312,1.5973572,1.9722284,1.9765216,2.3289678,1.4723473,1.5369756,1.5749786,1.0165402,0.48316193,1.1398737,1.3651361,1.759746,1.4665022,1.4563451,1.5320629,1.5971377,1.359396,0.8655648,2.4274516,2.8270185,0.9993826,1.1070232,1.4277766,1.5582753,1.9883951,2.900559,2.964926,1.3704288,1.3767616,1.1734,1.8254924,2.7576406,1.8728793,1.7005732,1.8843479,1.972028,1.4808931,2.877641,1.2215593
