filename,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48
Ac2HgGe.png,0.0,3.3381884,3.1749554,2.3307512,1.2601403,1.5491606,1.9314492,3.6075394,3.667841,2.5543644,0.28714076,0.5724833,2.0993085,3.8040006,4.091534,0.26916972,0.0,0.8176416,1.0642054,2.228597,2.4186094,0.96721625,0.60358447,3.4730086,1.6862166,1.4005799,1.1067653,1.4832928,0.8033367,5.373535,2.2147825,0.42731684,1.1028187,2.3638794,0.8155355,1.4967705,2.2752838,1.0671701,1.7061417,1.8225732,1.2553744,0.22556573,2.086927,1.3386669,1.8603392,1.7578875,1.746206,1.3806413,2.6589246
Ac2SiAu.png,1.7583023,2.1589193,2.3430507,1.032832,2.0936172,0.9834795,1.8616678,0.8486551,3.3698199,0.03736475,2.2456312,2.0178382,2.7697377,1.4296782,2.5512295,2.0152001,1.0154126,1.1811298,0.67156184,0.7752996,2.7317019,1.9804401,1.3335565,2.1502707,0.887677,0.89084595,1.1522806,1.9424082,1.4218411,0.75793386,0.67337036,0.30909377,2.5353487,1.2141365,0.76901937,1.0479954,3.3413029,2.819623,4.4250803,3.443509,2.653619,2.089818,4.1952,2.921493,2.6900291,3.705381,3.2037408,3.2258756,2.394911
AcAgAu2.png,0.8498003,2.322325,2.2672017,3.4074192,3.1818013,2.0246317,0.92293024,1.5621585,1.7084496,2.3150425,3.5127044,1.9805714,3.8521812,1.7792966,2.6831706,1.859746,0.6038921,0.9598084,2.584321,2.6269474,3.5902781,2.4025884,2.2011554,0.8536358,0.23349231,1.5352354,2.1993365,2.6037884,1.5678202,2.0705304,3.4482913,1.8768643,0.49276,1.663812,1.435211,1.0343337,2.954619,2.814527,2.5155172,1.2499892,0.5347507,2.5534163,3.8449774,1.4444258,1.9874582,3.0326715,0.32949445,3.2818627,3.6997283
AcCdRh2.png,0.3227098,1.252445,1.3790526,1.256803,1.5296004,1.612716,0.71540844,1.7362673,1.447899,0.64519465,1.691524,2.3229752,1.9909872,2.8493176,2.8999915,2.1936514,2.527806,1.1887091,1.5485065,4.4176416,2.9047623,3.9779456,1.6857649,1.598322,1.1150135,1.6536994,3.451219,2.7217817,3.6915276,0.6304938,0.0,0.29307055,2.5216825,2.7073236,3.3488286,1.9397131,0.0,3.4116855,0.5653939,0.9225179,1.3568454,1.5384454,0.6513777,4.7538857,1.9000015,0.82580054,1.7446747,1.9201002,1.7070699
AcHgRh2.png,0.0,3.0718315,3.5408664,3.031811,1.4062592,3.3136034,1.9660677,2.4852014,2.6216972,4.0683365,1.2679999,2.6723578,2.8063164,2.820728,2.3285613,0.9956471,1.498955,0.33024064,1.0492517,1.8495954,2.1331193,1.2701232,3.2780159,0.9096903,2.9270034,1.6068119,2.5248895,1.808794,1.8756926,0.11422221,0.47172254,1.4253938,0.0,0.0,0.0,0.053675294,2.1531048,2.8181753,2.410197,2.8089983,2.1261668,2.1865816,4.076795,3.2093678,1.7975774,2.4920146,1.7672099,3.4816709,2.9105468
AcSnPd2.png,0.8500328,1.8577523,4.422512,1.981719,0.9761602,1.1005465,1.369452,0.67564964,5.485445,3.2567892,0.99119127,1.0756257,1.0441039,0.7331774,2.0839157,1.4383681,0.5102147,2.9439504,1.9169664,2.2578533,1.5716637,1.0908289,0.48853093,3.5288663,3.5444639,2.996962,0.4238117,1.0339129,0.9395363,1.7149608,2.7271695,3.2230005,2.1335032,1.091682,1.3947024,1.8385911,2.3804026,2.4459558,3.256671,0.56683147,2.2792692,3.3201804,3.7884693,2.0608993,1.750277,1.6278317,0.91501915,2.6645136,4.270946
AcTlRh2.png,1.5307024,2.3766217,1.216794,1.632832,1.2282107,1.4029547,1.789856,0.83300245,2.6427648,1.921135,1.545686,1.6522021,2.4949164,1.8290393,2.606347,0.96979296,0.36716747,0.8951944,1.6085718,0.6952595,3.1382678,2.9953787,1.5410428,1.9693686,0.74687314,1.8045404,3.81065,2.7134414,4.624825,3.857913,3.3752556,0.0,1.8927488,4.90474,3.395371,3.6822538,3.7514005,3.054962,0.42457566,2.1616333,4.601771,1.671314,1.3949562,1.7387474,1.0587324,1.949998,2.0579834,0.3703384,1.1285124
AgHgPd2.png,0.9315803,3.8279333,2.401219,2.791862,2.1476219,1.6207137,3.9675488,4.443738,3.2042143,4.130121,1.6495277,0.7359246,5.3114634,4.026204,4.323623,0.17212321,2.006876,0.8411306,1.9455438,2.8828752,3.4194388,2.6567404,1.4757924,1.7026722,0.8844788,2.6753626,0.5828204,1.4567926,2.2051964,3.4387617,0.34901634,2.6830106,4.3806744,2.5024862,1.989403,1.0860351,0.48431936,0.42037687,2.4590576,2.8977652,1.256175,0.20679036,1.1504304,1.2695035,1.0052575,0.79169863,0.8159787,0.81213707,1.7908726
Al2CoIr.png,1.7927599,1.0715034,1.7281531,2.122604,2.6572545,1.3279934,3.5901332,2.8509662,0.87091374,2.2757757,2.067632,1.5084095,2.7745283,4.87001,3.6295133,1.7682477,1.8113775,0.85716546,1.2954751,3.0986643,3.9042974,1.1906043,0.33371687,1.573004,0.13736865,0.40583086,2.068067,0.080141395,2.31529,1.6190559,1.6599551,2.1547875,1.8510865,1.0835626,3.1521764,2.2921672,0.26625,1.3121443,2.5213873,1.2596216,3.0501413,1.2382475,1.5553486,1.255644,1.1361743,1.1519591,0.40710482,1.2585014,1.743605
Al2CoRu.png,1.0380776,2.82256,1.9599755,1.2724648,1.930278,1.2169799,4.440799,4.3279305,2.2070177,1.7597498,1.4337802,0.9689806,4.2301254,2.7900434,1.0737858,0.27919888,1.540836,1.3628676,1.2688514,3.3771417,0.59397453,2.0686169,0.98505044,0.77096164,1.8646958,1.8082724,0.9353637,2.545108,4.0932207,3.1542337,1.8352401,1.6416548,1.0630214,4.461193,3.9612453,4.272509,1.7300097,0.89807975,0.6327899,1.502237,4.2703733,1.5098015,0.9041961,1.2891916,1.7663271,0.40189642,2.123147,0.87361705,0.84699136
