filename,z0,z1
Ac2HgGe.png,5.1198573,2.902375
Ac2SiAu.png,5.3860283,2.9874763
AcAgAu2.png,9.126432,3.4145334
AcCdRh2.png,3.8736527,3.2481787
AcHgRh2.png,5.288144,3.0281727
AcSnPd2.png,8.853172,2.9095304
AcTlRh2.png,2.3061376,2.5354385
AgHgPd2.png,0.6735359,2.861304
Al2CoIr.png,4.9303856,3.6438146
Al2CoRu.png,4.393679,1.5756328
Al2FeCo.png,6.3959813,4.022632
Al2FeIr.png,4.1217294,2.912365
Al2IrRh.png,0.986278,4.216042
Al2NiRu.png,0.9118197,4.378514
Al2PdRu.png,0.91809016,4.331991
Al2RuPt.png,1.111529,4.099036
AlCrRu2.png,6.0338783,2.1981275
AlCuAu2.png,9.345311,3.6083004
AlFe2Si.png,4.787922,2.0100453
AlFe2W.png,5.977979,3.7763853
AlGeRu2.png,5.6925583,2.948836
AlZnIr2.png,0.626119,4.0278816
BaSrTl2.png,5.72317,0.62923384
BeCo2Ge.png,5.2334857,3.635555
BeCo2Si.png,4.777799,3.5195074
BeFe2Si.png,4.593544,3.152367
BeSiNi2.png,9.107382,3.7639778
Ca2PdAu.png,5.7533817,6.9064136
CaAcRh2.png,0.80485594,2.9589808
CaAg2Sn.png,7.2544107,1.5831953
CaCdAu2.png,9.37426,3.4273546
CaCdHg2.png,8.121503,2.3815532
CaInAg2.png,8.667181,2.7531164
CaInHg2.png,5.891804,1.7148963
CaMgHg2.png,8.126343,2.3694663
CaSnAu2.png,8.196345,2.4446547
CaSnRh2.png,0.70694023,4.3207603
Cd2AgAu.png,9.325857,3.5615897
Cd2AgPt.png,5.9147606,5.226688
Cd2AgRh.png,0.37285447,5.1628933
Cd2PdRh.png,0.4695906,3.6813204
Cd2PtRh.png,5.182219,2.4454143
Cd2RhAu.png,6.350059,0.9322909
CdAgPd2.png,0.64042586,2.8240457
CdInPd2.png,5.657113,6.020676
CrSiRu2.png,6.3363194,1.479081
CuSnRh2.png,0.4604062,3.6978507
Fe2CoSi.png,5.9362297,3.2909095
FeCo2Ge.png,5.800468,3.3676922
FeGeRu2.png,5.9231553,3.0008848
FeSiRu2.png,4.9646535,2.417029
FeSiTc2.png,4.2012997,1.9903204
FeTc2Ge.png,4.2903714,2.042763
Ga2IrRh.png,0.88246804,4.06589
GaCuRh2.png,1.1487825,1.733871
GaFeCo2.png,5.3062644,2.5384862
GaFeRh2.png,5.7124553,0.7484412
GaFeRu2.png,5.5267334,2.122756
GaGeRu2.png,5.6518664,2.9492824
GaNiRh2.png,1.374462,1.7955312
GaTc2W.png,2.92771,-1.3601496
Hf2CoIr.png,6.2943115,0.6466021
Hf2CuTc.png,5.618394,0.55500126
Hf2FeRh.png,4.1889563,0.3299394
Hf2FeTc.png,4.4561424,0.38207263
Hf2IrRh.png,9.349461,4.928315
Hf2MnRh.png,6.163682,2.4154472
Hf2MoIr.png,3.127111,1.9864663
Hf2MoRh.png,1.4546028,1.0562022
Hf2OsRh.png,4.662469,0.80590475
Hf2ReIr.png,5.5699143,2.608643
Hf2TcIr.png,2.443407,1.309706
Hf2TcOs.png,3.046852,2.023263
Hf2TcPd.png,4.772636,0.7143339
Hf2TcRu.png,0.88935184,1.1391802
HfAlCo2.png,3.871729,0.08340333
HfAlCu2.png,7.6995726,1.5531251
HfAlNi2.png,8.818479,0.89984
HfAlPd2.png,8.941365,3.1332304
HfAlRh2.png,6.3604,7.023346
HfCdRh2.png,2.260106,2.111637
HfCo2Sn.png,6.3541145,0.4823721
HfGaCo2.png,3.904207,0.09954241
HfGaRh2.png,6.393777,7.0171947
HfGaRu2.png,5.0511193,1.9485515
HfGeRu2.png,4.1465273,3.833951
HfInCo2.png,4.9040895,4.365559
HfInRh2.png,5.7107677,6.4467344
HfMgAu2.png,7.5019264,2.4447405
HfMgIr2.png,2.9312975,4.0065265
HfMgPd2.png,9.593546,4.3798685
HfMgPt2.png,9.498295,4.7874417
HfMgRh2.png,2.0912235,2.3545053
HfNbTc2.png,1.1164674,1.7155046
HfScCo2.png,4.218222,0.32406715
HfScOs2.png,3.2351196,2.328199
HfScRh2.png,5.818362,7.238825
HfScRu2.png,2.5935972,3.431674
HfSiRu2.png,4.05425,3.5957384
HfSnRh2.png,9.600466,4.196535
HfSnRu2.png,3.6815534,4.04135
HfTaRe2.png,0.98847926,1.0311314
HfTc2Mo.png,3.0978906,1.3257778
HfTc2Sb.png,6.132561,4.143576
HfTc2W.png,2.9832118,1.3972309
HfZnAu2.png,8.053833,2.33563
HfZnCo2.png,4.0369453,4.009162
HfZnCu2.png,8.212619,2.5425005
HfZnIr2.png,3.023149,4.023145
HfZnNi2.png,9.654503,4.1947947
HfZnRh2.png,2.190764,2.20702
HfZrTc2.png,1.6311367,1.0316058
HgPd2Au.png,0.6441376,2.8145854
InPd2Au.png,0.44260883,5.2776117
LaInNi2.png,5.1526437,3.2511835
LiAlNi2.png,2.8227935,4.0537677
LiCo2Ge.png,6.7800727,2.8159997
LiCo2Si.png,5.190659,3.3783038
LiGaNi2.png,2.9385078,4.053067
LiNi2Ge.png,4.938953,4.4395866
LiNi2Sn.png,4.8320045,4.410757
LiSiNi2.png,5.1425433,4.746083
Mg2AgAu.png,9.325487,3.3756452
Mg2AgHg.png,8.722271,2.7352545
Mg2AgPt.png,5.72731,6.198089
Mg2AgRh.png,0.57868516,5.369774
Mg2IrPt.png,5.8416715,2.6175473
Mg2PdPt.png,0.61433434,5.421411
Mg2PtRh.png,4.496278,3.2550206
Mg2RhAu.png,0.38306502,5.210725
MgAlAg2.png,8.78391,2.7845478
MgAlPd2.png,5.6844707,6.060139
MgAlRh2.png,0.48631442,3.819282
MgCdAg2.png,9.385315,3.7023149
MgFeRh2.png,4.18502,2.8091671
MgGaAg2.png,8.82921,2.8336082
MgGaIr2.png,4.5866303,-0.08512764
MgGaNi2.png,5.43902,5.021175
MgGaPd2.png,5.608311,6.1373343
MgGaPt2.png,5.725721,5.842656
MgGaRh2.png,0.44244507,3.912833
MgGeRh2.png,2.5174081,3.9547179
MgHgPd2.png,0.46459725,5.2876625
MgInPd2.png,5.5642366,6.138555
MgInRh2.png,5.7716217,2.3639407
MgMnPd2.png,0.6709593,5.4631324
