filename,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48
Ac2HgGe.png,0.009761957,1.5155009,4.436528,3.1049256,0.26611316,0.0,0.559374,0.9370167,6.1578197,0.31575665,0.0224994,0.48875517,1.8706365,3.0959275,0.0,1.0654498,0.64176023,3.3472183,1.3980937,0.0,1.7489138,0.0,0.1870778,5.5576944,5.258792,0.43407315,0.7267594,1.1082014,0.05267834,2.3181858,2.7247367,0.33577687,1.4233594,0.481791,0.752857,0.21018614,0.0,0.0,3.347797,2.0817542,1.5401332,0.70875156,0.3620025,4.625676,2.07888,0.0,1.6889935,0.64639044,3.4656544
Ac2SiAu.png,0.06361006,1.379622,3.216743,0.0030258738,1.4353621,0.6641838,1.1652377,0.041100472,0.79416525,3.153954,0.8971534,2.0646544,0.108951256,1.314481,0.41223624,3.0783157,2.8994474,0.57502484,0.18928541,0.0,2.7084413,0.0,1.2471573,0.09206228,2.4845073,2.327148,1.5640296,0.14059642,0.0,1.5318731,1.4766854,0.0,3.804903,4.694623,0.7365364,0.32348034,5.417621,5.4753566,3.7589087,5.1772356,5.0594125,5.6158886,0.53852254,3.36942,0.88348323,0.0,1.7673526,2.7348163,4.4287457
AcAgAu2.png,0.097578645,1.7905036,0.9803828,3.3752499,4.3362813,0.14572243,1.295573,0.18956123,2.7637427,2.215285,0.0,1.3375572,1.577976,1.6065111,0.0,2.815147,2.0369487,0.68778676,0.31873626,3.6185982,3.386951,0.0,1.2266935,2.7594948,2.0673602,0.2908821,0.0,2.1017232,0.02506058,1.3883895,3.693889,5.8992705,4.6223044,0.0,1.9588206,0.6283755,4.0123653,0.6180583,0.0,6.3699617,0.18008526,2.7241561,0.320208,6.29948,0.6080681,2.668692,3.7664537,0.14838322,5.9328246
AcCdRh2.png,0.029378228,0.6419562,1.403538,0.2629914,1.2203541,1.6726615,0.20184359,0.56900555,4.715125,0.73408806,1.5248468,1.054493,0.111473106,5.0093393,0.15129939,6.1595726,3.9565544,3.8422518,0.0869206,1.1476016,5.044728,0.0,5.10673,0.0,0.6381355,0.7547908,0.45322335,3.7625756,0.0,4.1252418,0.11796443,2.056737,0.39381757,1.8276538,3.581314,0.0,0.5295203,4.027438,5.387783,0.0,0.0,0.9393739,0.06361006,3.1381803,3.2375154,0.0095946,4.7132072,3.3625894,2.3722773
AcHgRh2.png,0.04022812,1.116381,3.6824322,5.861452,0.11759891,2.9728222,0.67441225,0.45215386,3.7121387,0.0,1.8668022,0.23020731,0.19662268,3.009406,0.0,1.3464494,3.064205,0.17341179,1.725868,0.91304356,1.8887628,0.06361006,1.3133265,3.0642233,0.7761368,6.813965,0.0,1.5224178,0.05208463,0.0,1.0921106,0.0,0.0,0.3352529,0.0,0.17992869,4.7305694,5.1934657,4.0015736,4.698114,4.5578322,5.5287256,1.0132904,5.887042,0.40014052,0.0,0.5375698,0.0,4.963096
AcSnPd2.png,0.06238448,1.0425352,5.709221,3.7771754,0.45206127,0.0,0.27891168,0.051907387,1.3662649,1.3855782,0.0,4.472705,1.0288234,0.4122764,0.5638344,2.0883188,0.152159,4.360015,4.1867356,5.6521187,2.1779485,0.0,1.1027998,0.8550347,4.1433525,5.072655,0.99823016,1.0875947,0.025058463,2.4164033,3.454478,0.0,5.7832346,0.7232214,2.138696,0.31003004,2.8415916,3.4104805,0.9497589,3.6309612,0.7921412,2.5979605,0.59093803,5.0038013,1.0341451,0.0,1.2224283,3.1197276,4.3661017
AcTlRh2.png,0.057246502,1.3000185,0.66164863,0.5911271,0.31413314,0.023198863,0.6260116,0.13083178,1.6510117,3.3216724,2.7533145,0.0,2.180611,1.9813268,0.52084374,4.866073,0.0,0.86423683,0.86694866,0.0,3.0826135,0.0,4.23647,4.5206804,6.039351,0.0,1.1810052,5.992584,0.0,5.711153,4.105572,4.439289,0.11929485,0.02765435,6.955894,0.0,0.0,1.5467415,3.415358,4.019811,0.0,1.6612897,0.20771404,2.4663873,0.42547905,0.0,3.447774,1.9101019,1.9987276
AgHgPd2.png,0.5411081,4.527397,2.8700712,4.0480704,1.1109567,0.54303795,4.2489076,0.3995856,6.085431,0.0,4.372961,0.26298797,1.6126207,4.0653105,0.0,4.037383,0.90725607,2.9224443,0.42760798,1.8434615,2.8391867,0.0,1.8770816,5.8838234,0.8268311,0.237554,5.006975,1.3970163,0.06361006,1.143906,3.1834178,0.4408249,2.2031536,5.232309,2.2362297,0.029779004,0.0,1.3413526,0.66174334,0.0,0.0,0.7679969,0.62579024,4.0776334,0.69140714,0.50987905,1.1471496,0.5249985,2.9616566
Al2CoIr.png,0.35706556,2.680295,0.64039224,0.7617706,2.515941,0.7441784,2.607973,0.27177587,4.3971963,1.2432249,2.236772,0.86014044,0.0,3.3949552,0.0,3.8172426,0.6372167,0.0,2.143621,0.0,3.1411417,0.0,1.0338304,1.3314756,0.8823792,0.957533,0.3335414,0.70405537,0.4421725,6.050004,0.85777754,0.789087,5.375622,0.31161988,3.8953848,0.0,0.3401437,0.89220047,0.0,1.6241006,0.0,0.79699755,0.0,3.8108044,1.8745353,0.0,0.8021468,0.41361314,2.7640905
Al2CoRu.png,0.746611,4.775382,0.18434122,0.8240142,0.6383041,0.7475928,4.3583803,0.0,3.6714194,1.3475094,0.50306034,1.658591,0.0,2.8433542,0.0,1.3294259,0.8003735,2.135196,2.8382335,0.46529806,1.2919333,0.04997923,4.883898,1.605004,0.0,1.6688972,0.259433,3.533445,0.27297372,6.542158,5.4108963,2.7100163,0.0,0.8366975,5.9890647,0.0,0.0,0.0,1.0076528,0.6740271,0.946634,1.1112498,0.0,1.5004084,3.3607137,2.322897,0.38702002,2.4213428,1.3830199
Al2FeCo.png,0.3598115,2.8612998,0.8195788,1.1554207,1.7698534,0.54518473,2.4127285,0.0,0.88614166,1.2206247,0.0,0.12578015,0.0,0.6503943,0.073986955,3.2305691,1.8136127,1.8172046,0.94486976,0.2597862,2.8077984,0.022303151,2.058742,1.0938606,1.5058587,1.9481032,0.0,1.880038,0.0,1.544011,0.0,0.92302,1.6831547,0.0,0.6257806,0.2058854,6.5652285,0.5396797,0.0,2.2125177,0.45450175,5.479706,0.0,4.5067053,4.557665,0.20722681,0.6970053,1.1462356,4.5852027
Al2FeIr.png,0.13742024,0.6467727,0.53433025,1.0142373,0.0,1.7002658,0.0045919884,0.42632028,3.4082208,0.54884744,5.0706267,0.7813982,1.4992785,2.396906,0.0,3.9968703,0.0,0.0,1.7478184,0.0,3.216494,0.0,4.519267,3.5387177,2.120997,2.1435833,0.0,4.0337005,0.0,0.85268855,1.9222317,0.0,1.9436662,0.0,0.68540436,0.0,1.4424247,1.5500553,1.6323457,2.2929215,1.540263,1.4710786,0.34234732,3.309865,1.6012895,0.045292206,5.0131507,0.16262078,2.479524
