filename,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97
Ac2HgGe.png,2.7821019,4.119727,4.616349,4.645376,4.0190477,4.4522643,4.984054,0.0,0.99994665,1.1366042,1.1220669,0.95332134,1.546727,1.3259946,0.85503924,0.0,0.0,0.0,0.0,0.0010538531,0.4374609,0.0,0.3908794,0.6171287,0.2987012,0.31202447,0.0,0.0,0.48216638,0.0,0.0,0.6299137,0.115563706,0.1021848,0.9304072,0.08210302,1.2294086,1.9375484,0.6938941,0.74604905,1.329081,0.4890396,0.0,0.0,0.2363718,0.4540704,0.0,0.0,0.0,3.471934,2.9000576,2.440556,2.2657695,1.4759867,1.3012526,2.6680107,2.1011348,2.212786,2.0926864,2.0652702,2.7492237,2.067024,2.0891056,1.1852142,1.2516142,1.0913857,2.0517938,1.6700821,0.9820426,0.01447019,1.1120609,2.2773168,2.7212913,1.2730567,0.21081983,1.2942803,1.6388383,1.4669093,1.1688031,1.7504344,2.0985594,2.4854343,1.8052552,1.0981607,1.3972785,1.2458552,1.5307811,0.982933,2.0204053,0.9539541,2.1747065,3.2618055,3.187463,4.0794563,3.850387,2.7393231,4.2519083,2.8925407
Ac2SiAu.png,1.8473129,3.1617944,2.7073908,2.3089917,2.7410972,3.0619552,4.618776,0.0,0.57415974,0.29946864,0.034659907,0.0,0.59279644,0.5242988,0.26176104,0.12832388,0.0,0.0,0.0,0.074729234,0.10810697,0.07684493,0.0,0.01440574,0.30074394,1.040487,0.2001458,0.0,0.0,0.6486188,0.42431673,0.32623968,1.103625,1.0553522,1.3198097,1.2130245,1.4641122,1.0083293,2.4370656,0.6631266,0.4373233,1.5882419,0.0,0.2882349,0.0,0.23553328,0.0,0.0,0.0,2.535547,1.7735388,1.1255774,1.5160662,1.8035136,1.3400239,1.8551743,1.7562879,1.693222,1.5078022,2.1379156,1.6563423,1.2368888,1.6337583,0.91242063,0.90729177,2.0883596,1.4133017,1.046383,1.691858,0.39466763,1.5366542,1.4512032,2.1226368,1.6290016,1.7507561,1.8172553,2.0649889,2.0701761,1.7530284,1.5105053,2.486398,2.83855,2.0711644,1.5341815,2.29802,0.70523775,2.9706087,1.7498494,0.6638452,1.893416,1.9483162,1.9564695,3.7559042,3.483663,2.9192243,2.8369412,3.7534401,1.9996665
AcAgAu2.png,0.57672226,1.1815444,0.8819342,1.8809587,1.5838511,0.7732693,1.255193,0.0,0.5679782,0.40203312,0.4115865,0.3872197,1.0669491,0.9557024,0.3208938,0.1251174,0.0,0.4291563,0.0,0.0,0.0,0.0,0.28667915,0.4127476,0.51612896,0.37929603,0.0,0.0,1.3808236,1.7736218,1.2252061,1.0329177,2.0182533,0.014389346,1.4261022,1.7063153,2.2121928,1.3840411,1.2018838,0.71846735,0.9174073,2.1847963,0.5485769,0.06622158,0.0,0.0,0.0,0.0,0.0,1.6629643,1.3257395,2.522327,1.2035345,0.88918567,2.044475,0.7837498,3.234254,1.3942933,1.7316425,1.449438,2.1997442,2.1998038,2.576459,1.1337451,1.6810296,2.02803,2.1738853,1.7576435,1.120517,1.2398238,1.2971663,2.2177997,2.3647175,1.7413299,2.3512545,1.4338804,1.1714194,3.8553295,2.342556,1.786706,2.7169566,2.1714919,0.72609806,3.2730374,4.390902,1.6524498,2.6804168,2.94611,0.93466103,2.5655222,4.7003927,1.8015723,1.3868885,2.4433582,2.0197093,1.8404264,2.6323278,1.5312827
AcCdRh2.png,1.5260351,1.1478509,2.7818012,2.2596025,1.3465817,2.0446515,1.8272425,0.0,0.43468451,0.8226791,1.1096936,0.83658594,0.70068663,0.0054056104,0.607269,0.29747662,0.3997277,0.28862357,0.27098414,0.1451494,0.0,1.1884642,1.6635456,0.87755316,0.11098587,0.0,0.0,1.3301619,0.74425995,0.9910844,0.07796492,0.0,1.1544554,0.0,0.30549788,0.13117532,0.0,0.008593392,0.03292227,0.16353503,0.634145,0.0,0.0,0.0,0.0,0.0,0.10598661,0.0,0.0,2.6186113,1.8250144,1.7064288,0.49261475,0.79407877,0.6818926,2.5228436,1.2426682,1.4513712,1.1649646,3.738499,2.1297636,0.7148579,1.2156638,1.5668285,3.0136461,1.5019883,1.8738536,1.4239602,1.5140872,1.5800508,3.5998054,1.4485677,1.5263977,1.4508265,0.4547322,2.5793087,3.1710353,1.4814935,3.2691288,1.5582547,0.88563144,0.81431377,1.0221853,1.3324498,1.1882955,1.0921919,1.437856,1.6070273,1.4686271,1.1793224,0.96447873,1.0600107,1.0080907,1.6167662,1.9900444,1.2646315,0.65408206,1.4179454
AcHgRh2.png,1.1344004,1.2962078,0.56388086,1.6922919,1.0177476,0.804016,1.0073004,1.5203013,0.9964572,0.9127669,0.4907355,0.031674553,0.26661554,1.3113347,0.4635103,0.8456373,0.55529624,0.7903075,0.0,0.4059967,0.0,0.0,0.0,0.0,0.46198633,0.84587014,0.37353155,0.4040944,1.5567427,0.84371334,0.78922933,0.075749256,0.046676204,0.58325016,1.1646591,0.44803262,1.092028,0.87385404,0.56714165,0.6736646,0.27093694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86133516,1.2484177,0.98050356,1.1542754,1.409892,0.6703075,0.8760125,4.092491,1.454541,1.8711637,1.2700957,1.4417872,1.1803367,3.4876258,1.9950917,2.0589962,2.6802003,1.057008,1.1697006,1.9138993,1.7765105,0.5350356,2.4606228,2.3782754,1.7891915,1.7792004,1.4293504,1.0242088,2.9777637,1.8642564,1.3217008,1.769129,1.7192924,1.9381579,2.3605344,1.1548429,2.4221492,2.2698247,1.5220025,2.0331233,0.87863743,1.7105339,1.7153739,1.3199329,2.336481,2.0855298,2.5577264,2.0885537,1.5832735
AcSnPd2.png,0.23505735,1.9834918,1.7710805,1.2786195,1.0149745,1.3194275,2.0671597,1.6007193,0.2368167,1.4005544,0.5953431,0.97678643,2.4538074,1.0334915,0.10628098,0.8397205,1.5019504,0.24163912,0.30292827,0.9030788,0.0,0.5317879,0.04492768,0.7415914,1.4799145,2.989238,0.19477054,0.0,1.6691872,1.359696,1.0091957,0.9723224,0.9352278,0.575706,0.353109,0.64060664,1.3107976,0.7947874,0.60158,0.13332205,0.67238814,0.04721382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3876743,1.5588475,0.40100434,1.9166317,1.1300516,1.9808543,0.7738901,1.9216756,1.8499597,2.4614642,2.312474,3.497588,2.633877,0.7624652,2.2753525,2.2920575,1.3296648,1.0669562,2.360038,3.5399704,1.8383592,1.1932204,1.515559,3.1860685,3.990206,3.1814985,0.37262222,1.4948912,4.346462,1.292417,2.1618,2.5853338,1.890313,1.244035,3.4269395,2.3554082,1.6665127,2.6032505,1.8376441,0.93883324,1.866638,2.7889853,0.5979577,0.6214057,1.379628,1.0517989,0.9978864,1.3702769,0.8655828
AcTlRh2.png,2.9947343,1.5140586,2.344541,1.3977903,0.5759448,1.808316,2.5328937,0.0,0.507918,0.5153687,0.61383957,0.7081913,0.20106411,0.021247936,0.38191372,0.0,0.0,0.93776584,0.45788926,0.16576973,0.5904105,0.7899536,1.6608474,1.9381334,1.2895799,0.6497321,1.109966,1.5176325,0.13927025,0.61188453,0.7606725,0.9483569,0.06997861,0.0,0.0,2.3816116,0.1768933,0.080531225,0.0,0.0,0.0,0.67493796,0.0,0.030231284,0.0,0.0,0.0,0.0,0.0,3.18952,1.6942948,1.4790993,1.0047269,1.2421575,0.9526971,3.355586,1.4575876,1.650844,2.7794325,2.1213593,2.4393814,1.1958673,1.5336094,1.587104,0.5913161,2.106649,1.8286023,1.659067,0.79108334,0.97771645,3.5755918,2.7999425,3.2520425,2.214483,1.1447532,2.7179894,3.6294792,1.041427,1.7046684,3.3332784,2.2198157,2.1099477,1.3489308,1.4738951,1.1953418,1.0554907,1.7687366,0.97063106,0.7108059,1.0688165,0.021491796,1.0043042,2.2137156,1.2942234,1.3084271,1.0014443,1.9664056,1.6166812
AgHgPd2.png,0.98703814,0.92202413,3.4631357,0.5662651,0.80461526,1.5057203,0.4416309,0.59204066,3.07626,1.9476802,1.4379126,2.0973248,0.3360526,1.3499827,2.176189,3.571815,1.8358445,1.7796874,1.0713536,0.6331916,3.6766148,0.8050953,0.9587791,0.10718185,0.1789463,0.31137836,0.9637587,0.43606725,0.6257401,0.0,0.0,0.0,0.0,0.0,0.5123,0.42293116,0.35229957,0.5194605,0.22692525,0.0,0.22335583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7162323,1.8900123,2.031747,0.066660225,4.0865073,0.05675599,3.137672,3.191701,3.2502396,2.7263446,2.0497415,3.0794702,1.1625062,3.7000413,4.830801,3.3754554,1.8429286,3.3853261,1.2591726,2.6183639,3.669868,2.5825706,1.757721,2.4266946,2.8266842,1.5067892,3.2500196,2.307323,0.36108968,0.54132664,1.7134231,1.095793,0.7233277,1.7486589,0.10600581,1.3884559,1.1804727,1.2545993,0.49233648,0.5269375,1.2781388,1.3624496,1.474899,2.696463,2.528252,1.7135553,1.4368271,2.2192743,1.3744464
Al2CoIr.png,2.4723103,1.4877844,1.7672522,3.4679923,1.6882036,2.8516455,0.94472855,0.3472365,1.019212,1.2753593,1.2605,1.2172711,1.2239448,0.710259,1.6741381,0.5781104,0.77052313,0.53533083,0.52881855,0.5320854,0.0,0.0,0.3039629,0.65513325,0.21869683,0.15078755,0.0,0.0,0.047638655,0.0,0.0,0.0,0.0,0.0,0.6674694,0.84899235,0.15438062,0.15723793,0.0,0.0,0.07130094,0.16488284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4614999,0.9165432,3.1696072,1.3481925,0.4730091,3.2366083,0.25050998,3.6867154,2.0905151,1.9290216,2.4086823,2.5739627,2.142513,2.624462,1.057659,2.0773885,1.938566,2.8433888,2.9029102,0.41162714,1.5237014,1.5135634,2.5598125,1.6562626,0.96361727,1.9870692,1.9692581,1.9762832,0.6806802,1.1696029,1.6180782,1.2854788,1.071416,1.1738422,0.9675086,0.9550266,1.022881,1.2613544,0.4951738,0.60335076,1.3653526,1.1408414,1.5848873,1.6050761,2.2110858,1.4755776,1.491394,1.6412998,1.6130984
Al2CoRu.png,3.288715,1.302168,2.2604442,3.9562454,2.0786633,2.1522217,2.1211166,0.048638817,1.1351467,0.8011066,1.1537702,0.83724153,1.2531972,0.95523673,0.31520846,0.64111674,0.0,0.029764974,0.0,0.0,0.0,1.3470774,0.44133702,0.52405053,0.40010592,0.46296006,0.0,1.7152387,0.043921996,0.6454194,0.1359038,0.0,0.0,0.195065,0.28319556,0.42685235,0.0,0.0,0.85984826,0.65204924,0.37305605,0.6166645,0.0,0.0,0.0,0.0,0.07391066,0.0,0.0,3.6634712,0.5939603,2.922798,1.0466661,1.7703482,1.808742,3.0258965,4.975068,1.9684907,1.2876562,2.8494358,2.7885861,1.4104426,3.9043155,0.8423517,1.6815908,1.7595301,1.0067159,2.034605,0.55724925,0.7553571,1.8954777,2.7942712,1.9756119,2.0447478,0.4707097,1.3308008,1.5136096,1.0693054,2.3695388,1.0695479,0.8345275,1.2116683,1.5368481,1.4980416,0.7962652,0.59372115,1.5634983,2.1682546,1.4152355,0.8032884,0.6274726,0.86975265,1.3667166,1.6733019,1.8980803,2.2490263,1.4942656,0.97404075
