filename,z0,z1
Ac2HgGe.png,-2.9143026,0.28929302
Ac2SiAu.png,-1.4725325,3.8767936
AcAgAu2.png,-0.16658163,4.655487
AcCdRh2.png,1.5132358,2.112838
AcHgRh2.png,2.4755154,-0.66764605
AcSnPd2.png,0.9642759,-2.3106995
AcTlRh2.png,0.30976403,1.1845818
AgHgPd2.png,5.172103,-0.6337115
Al2CoIr.png,2.8184516,0.682486
Al2CoRu.png,3.1675713,0.41970435
Al2FeCo.png,2.4905057,0.8691479
Al2FeIr.png,2.2354844,1.6995301
Al2IrRh.png,4.736329,-1.7331
Al2NiRu.png,4.7244606,-1.6581446
Al2PdRu.png,4.9105725,-1.5135046
Al2RuPt.png,4.6791835,-1.7436122
AlCrRu2.png,-0.22070314,1.4893737
AlCuAu2.png,0.25222194,4.78405
AlFe2Si.png,2.3907497,0.93091875
AlFe2W.png,-2.8069096,0.061856497
AlGeRu2.png,2.5501409,-0.5355999
AlZnIr2.png,4.709121,-1.7646601
BaSrTl2.png,-1.5645384,4.142308
BeCo2Ge.png,2.4583743,1.8289742
BeCo2Si.png,2.4815834,1.8649312
BeFe2Si.png,2.9313385,0.75712085
BeSiNi2.png,2.3580444,1.4189262
Ca2PdAu.png,0.7609566,3.6830814
CaAcRh2.png,0.5139791,0.19411944
CaAg2Sn.png,-1.4348465,4.1436625
CaCdAu2.png,0.20708367,4.8994026
CaCdHg2.png,-1.3313553,5.755051
CaInAg2.png,-1.517431,5.491047
CaInHg2.png,-1.5492347,4.4056826
CaMgHg2.png,-1.3371942,5.7887793
CaSnAu2.png,-1.3776138,5.801764
CaSnRh2.png,2.9902508,-0.31371275
Cd2AgAu.png,0.35030258,5.0132294
Cd2AgPt.png,4.2843018,-0.30067632
Cd2AgRh.png,6.203679,-0.9373759
Cd2PdRh.png,5.16973,-0.73575455
Cd2PtRh.png,3.619055,-0.32699347
Cd2RhAu.png,3.5990925,-0.5566436
CdAgPd2.png,5.1478157,-0.6368156
CdInPd2.png,1.5495243,3.8406847
CrSiRu2.png,-0.4156718,1.8973272
CuSnRh2.png,4.899372,-1.5188017
Fe2CoSi.png,3.004897,0.7911662
FeCo2Ge.png,2.953537,0.690445
FeGeRu2.png,0.00209884,1.6407126
FeSiRu2.png,0.18729492,1.3355134
FeSiTc2.png,-0.44653463,1.9383516
FeTc2Ge.png,-0.4980398,1.8536074
Ga2IrRh.png,4.5708375,-1.6368548
GaCuRh2.png,4.903624,-0.7910881
GaFeCo2.png,3.3663952,0.820117
GaFeRh2.png,4.853364,-0.7482481
GaFeRu2.png,-0.16684312,1.4823147
GaGeRu2.png,2.7912383,-0.67026955
GaNiRh2.png,4.9877977,-0.7664889
GaTc2W.png,1.0669361,-3.0311332
Hf2CoIr.png,2.8594122,-0.7212224
Hf2CuTc.png,3.6244485,-0.6352055
Hf2FeRh.png,-0.14710462,0.81089824
Hf2FeTc.png,-1.0700223,-0.7191847
Hf2IrRh.png,-1.7520075,2.1412847
Hf2MnRh.png,-2.7505589,0.6343512
Hf2MoIr.png,0.17924984,0.40453932
Hf2MoRh.png,0.41811657,-1.0513049
Hf2OsRh.png,0.5987916,-0.9533452
Hf2ReIr.png,-0.22097042,-1.0656412
Hf2TcIr.png,0.75737053,-0.92657614
Hf2TcOs.png,0.45815548,-0.73461694
Hf2TcPd.png,0.039468247,1.3388972
Hf2TcRu.png,0.5412211,0.13418801
HfAlCo2.png,2.6682506,-0.5202319
HfAlCu2.png,-0.95600295,4.681342
HfAlNi2.png,-0.3187133,2.747616
HfAlPd2.png,-0.08799466,4.170815
HfAlRh2.png,2.2631984,-0.27673334
HfCdRh2.png,1.1078805,0.059726126
HfCo2Sn.png,1.4617577,1.3034956
HfGaCo2.png,2.5599017,-0.5342675
HfGaRh2.png,2.1563177,-0.066953875
HfGaRu2.png,0.7550818,-2.2746282
HfGeRu2.png,1.7714559,0.42979768
HfInCo2.png,0.994113,1.3036999
HfInRh2.png,0.9842966,3.0658908
HfMgAu2.png,-1.2796698,5.398585
HfMgIr2.png,0.2503493,0.0015955927
HfMgPd2.png,-0.44751477,3.4722042
HfMgPt2.png,-1.6370465,2.2131379
HfMgRh2.png,0.7088289,0.7551354
HfNbTc2.png,-0.25304127,-2.3623762
HfScCo2.png,0.50512546,1.4857758
HfScOs2.png,0.50351036,0.05238699
HfScRh2.png,-1.8456811,2.0003731
HfScRu2.png,0.54814976,0.25594276
HfSiRu2.png,1.8079844,0.5861188
HfSnRh2.png,-1.6068844,2.199198
HfSnRu2.png,0.38790634,0.21930489
HfTaRe2.png,-0.21009745,-2.1085448
HfTc2Mo.png,0.51273704,-0.18403643
HfTc2Sb.png,-1.400245,0.8335131
HfTc2W.png,0.51694417,-0.22341527
HfZnAu2.png,-1.2453301,5.544641
HfZnCo2.png,1.768827,0.9331289
HfZnCu2.png,-0.98079294,4.886918
HfZnIr2.png,0.027665563,-0.06610749
HfZnNi2.png,1.4181198,2.2068708
HfZnRh2.png,0.974597,0.018972633
HfZrTc2.png,-0.82623136,-1.0560901
HgPd2Au.png,5.082033,-0.6764796
InPd2Au.png,6.210316,-0.81085587
LaInNi2.png,-3.4989192,0.8410116
LiAlNi2.png,5.635714,-1.2004535
LiCo2Ge.png,2.4336462,1.8198886
LiCo2Si.png,2.4020565,1.7789053
LiGaNi2.png,5.725242,-1.1448151
LiNi2Ge.png,2.3924248,2.082219
LiNi2Sn.png,2.4934556,1.9015235
LiSiNi2.png,2.3548422,2.060922
